Oh Wonder,Heart Hope
Oh Wonder,Technicolour Beat
Oh Wonder,All We Do
Mohit Chauhan,Phir se ud chala
Mohit Chauhan,Tum Ho
Mohit Chauhan,Aur Ho
Mohit Chauhan,Jo Bhi Main
Mohit Chauhan,Nadaan Parindey
Sumitra Sen,Sokhi bhabona kahare Bole
Indrani Sen,Oo Ki Elo Oo Ki Elo
Shubhayu,Tumi Robe Nirobe on Esraj
Gourab Sarkar,Tumi kon Kanoner
Hemanta Mukherjee,Tumi Robe Nirobe Rabindra
Anwesa,Jaanu Na
Srikanto Acharya,O Je Mane Na Mana
Pink Floyd,Wish You Were Here
Pink Floyd,Hey You
Gajendra Verma,Kyun Hai
Gajendra Verma,Tune Mere Jana
Gajendra Verma,Mera Jahan
Gajendra Verma,Mann Mera
Benjamin Wallfisch,Every 27 Years (Reprise)
Benjamin Wallfisch,Beverly
Benjamin Wallfisch,27 Years Later
Benjamin Wallfisch,Blood Oath
,Kaminey
Sukhwinder Singh,Dhan Te Nan
Kunal Ganjawala,Raat ke Dhai Baje
AR Rahman,RHTDM Theme
AR Rahman,Zara Zara
Britney Spears,Toxic
Britney Spears,Criminal
The Beatles,Within You Without You
The Beatles,Hey Jude
The Beatles,I Want To Hold Your Hand
The Beatles,Here Comes The Sun
The Beatles,Eleanor Rigsby
Quratulain Balouch,Faasle (Coke Studio Season 10)
Quratulain Balouch,Kaari Kaari
Quratulain Balouch,Baliye - Laung Gawacha (Coke Studio Season 9)
Quratulain Balouch,Main Tay Jogan Hoi Sonay Yaar Di
Quratulain Balouch,Wo Humsafar Tha Magar
Quratulain Balouch,Mann Mayal
The Japanese House,Swim Against The Tide
The Japanese House,Leon
Melanie Martinez,Pity Party
Melanie Martinez,Play Date
Queen,Under Pressure
Queen,Bohemian Rhapsody
The Yellow Diary,Kashmir
The Yellow Diary,Marz
The Yellow Diary,Tere Jeya Hor Disdan
The Yellow Diary,Afzai
Sukhwinder Singh,Omkara
Sunidhi Chauhan,Beedi
Shreya Ghoshal,O Saathi Re
Vishal Bharadwaj,Omkara BG Score
Rekha Bharadwaj,Laakad
Rekha Bhardwaj,Namak
Rahat Fateh Ali Khan,Naina
Vishal Bharadwaj,Tragady of Omkara
Arijit Singh,Kichhu Kichhu Kotha
Arijit Singh,Aaj Jane Ki Zid Na Karo
Arijit Singh,Tose Naina
Arijit Singh,Yeh Fitoor Mera
Arijit Singh,Ae Zindagi Gale Laga Le
Julien Baker,Salt In The Wound
Phoebe Bridgers,Motion Sickness
boygenius,Bite The Hand
Lord Huron,The Night We Met
Andromida,0s and 1s Only
Andromida,Timeless
Andromida,Subject Zero
Raman Mahadevan,Bheja Kum
Vishal Dadlani,Jame Raho
Shankar Mahadevan,Maa
Raman Mahadevan,Kholo Kholo
Adnan Sami,Mera Jahan
Bhaari Bhaari,Mohan Kanan
Panchi Ud Gaya,Mohan Kannan
Bhavya Pandit,Isharon Isharon
Asha Bhosle,Aaiye Meherbaan
Asha Bhosle,Aao huzoor tumko
Karunesh,Aao Huzoor Tumko
Mohammed Rafi,Udein Jab Jab Zulfen Teri
Arijit Singh,Jhumritalaiyya
Arijit Singh,Ullu Ka Pattha
Arijit Singh,Phir Wahi
Tushar Joshi,Khaana Khaake
Tushar Joshi,Musafir
Sufjan Stevens,Chicago
Yanouv,Beyond the Infinite
Yanouv,Labyrinth
Yanouv,In My Storm
Sahana Bajpaie,Phule Phule Dhole Dhole
Sahana Bajpaie,Amar Nishitho Raater Badol Dhara
Sahana Bajpaie,Ekta Chele
Kevin MacLeod,Dreams Become Real
Kevin MacLeod,Anguish
Kevin MacLeod,Perspectives
Kevin MacLeod,Summer Day
Kevin MacLeod,Heavy Heart
Shadow and Light,Pathjhad
Shadow and Light,Kahaani
Udit Narayan,Jaane Kyun Log Pyaar
Shankar Mahadevan,Taufiq - Rhy-dhun
Shankar Mahadevan,Virah
Shankar Mahadevan,Tere Naina
Dominique Cerejo,Ye Tumhari Meri Baatein
Shankar Mahadevan,Breathless
Shraddhha Kapoor,Tere Mere Dil
Shankar Mahadevan,Pyaar Ke Liye
Shankar Mahadevan,Dil Chahta Hai
Shaan,Where's The Party Tonight
KK,Jhoom Barabar Jhoom
Arijit Singh,Mast Magan (slowed + reverb)
Indian Raga,Feeling Good (Indian Mix) Nina Simone Jazz Classics Remix
Indian Raga,Aadu Paambe
Indian Raga,Tabla Trap Padhant
Indian Raga,Uptown Funk Raga Mix
Indian Raga,Jaagu Main saari - Maru Bihag
Indian Raga,EDM Thillana Ananda Bhairavi
Indian Raga,Jao Jao
Indian Raga,Piya Se Naina - Desh Thillana Mashup
Mukesh,Ek Din Bik Jaayega Mati Ke Mol
Kishore Kumar,Zindagi ke safar mein guzar jate hain
Kishore Kumar,Ek Ajnabee Haseena Se Ajnabee
Asha Bhosle,Do Lafzon Ki Hai Dil Ki Kahani
Ashok Kumar,Piya Bawari
Lata Mangeshkar,Kaanta Laga
Shailendra Singh,Humne Tumko Dekha
Kishore Kumar,Aanewala Pal Janewala Hai
Kishore Kumar,Jahan Teri Yeh Nazar Hai
Mohammed Rafi,Yamma Yamma
Oh Wonder,I Wish I Never Met You
Oh Wonder,Hallelujah
Oh Wonder,Better Now (Acoustic)
Oh wonder,In and Out of Love
Meghan Trainor,Hopeless Romantic
Meghan Trainor,Lips are moving
Meghan Trainor,Wave
Meghan Trainor,All that Bass
Meghan Trainor,No
Maroon 5,Lips On You
Maroon 5,Lost Stars
Adnan Sami,Nain Se Naino Ko Mila
Adnan Sami,Aye Udi Udi
Adnan Sami,Kabhi Nahi
Anoushka Shankar,Lasya
Anoushka Shankar,Chasing Shadows
Anoushka Shankar,Those Words
Anoushka Shankar,Easy
Anoushka Shankar,Flight
Anoushka Shankar,Dancing In Madness
Anoushka Shankar,Indian Summer
Anoushka Shankar,Fathers
Anoushka Shankar,Monsoon
Anoushka Shankar,Traces Of You extn
Shiraz Uppal,Raanjhanaa
Shreya Ghoshal,Banarasiya
Madhushree,Ay Sakhi
Sukhwinder Singh [KMMC Sufi Ensemble],Piya Milenge
Javed Ali,Tum Tak
Linkin Park,Numb
Linkin Park,In the End Remix
Linkin Park,Castle Of Glass
Linkin Park,In The End
Bonafide,Memories
The Spinto Band,Muesli
Shradhha Kapoor,Galliyan
Soft Metal,Mystic Trip to Al-Dzazir
Binary One,Returning
America,A Horse With No Name
aravasu-Jaane Bhi Do Yaaro.mp3,aravasu-Jaane Bhi Do Yaaro
unkown,Snowfall
Tulsi Kumar,Mujhe Teri
Prakriti Kakar,Hai Zaroori - 1st verse
Halo,Beyoncé
unknown,Linus and Lucy
Mohit Chauhan,Tum Se Hi
Mohit Chauhan,Tune Jo Na Kaha
Kanishk Seth,Thehra
Kanishk Seth,Gum Huye Hum
Kanishk Seth,Rangi Saari
Vijay Yesudas,Malare
Chevy,uwu
Sooraj Santhosh,Aaradhike
Raj Barman,Tum Mile Dil Khile - cover
Romy,Sahiba
Shreya Ghoshal,Saaluthillave
Amitabh Bachhan,Mere Paas Aao Mere Dosto
Anna Salman,Jab Koi Baat (Cover)
Lucky Ali,Na tum Jaano Na Hum
Kishore Kumar,Sara Zamana
Jagjit Singh,Har Ek Baat Pe Kehte Ho Tum
Jagjit Singh,Hazaron Khwahishein
Jagjit Singh,Dil-e-Nadaan
Troye Sivan,Revelation
Troye Sivan,Take Yourself Home
Cross Records,Steady Waves
Cross Records,The Depths
Jared Halley,GOT theme
Jared Halley,Imagine Dragons Mashup
Hildur Guðnadóttir,Defeated Clown
Hildur Guðnadóttir,Call Me Joker
Hildur Guðnadóttir,Escape from the Train
Hildur Guðnadóttir,A Bad Comedian
Hildur Guðnadóttir,Subway
Hildur Guðnadóttir,Confession
Hildur Guðnadóttir,Penny Taken to the Hospital
Hildur Guðnadóttir,Hoyt's Office
Samar Mehdi,Kashmakash
Samar Mehdi,Urooj
Suzonn,Rihaee
Suzonn,Sun Lo Na
Zayn Malik,I Don't Wanna Live Forever (Acoustic)
Zayn Malik,Entertainer
Zayn Malik,Dusk Till Dawn
Flora Cash,Father's Sins (Slowed + Reverb) Lofi
Flora Cash,Love Is In The Small Things (Slowed + Reverb) Lofi
Flora Cash,I Wasted You (Slowed + Reverb) Lofi
Denis Kalytovskyi,cover
Amit Trivedi,London Thumakda
Amit Trivedi,Hungama
Amit Trivedi,Gujariya
Amit Trivedi,Harjaiyaan
Amit Trivedi,Kinare
Amit Trivedi,Ranjha
Amit Trivedi,Taake Jhanke
Amit Trivedi,Badra Bahaar
Jasleen Royal,Kaisi Hai Ye Rut
Jasleen Royal,Teri Dastaan
Jasleen Royal,Preet
Jasleen Royal,Din Shagna Da
Jasleen Royal,Naina's Theme
Jasleen Royal,Kho Gaye Hum Kahan
Jasleen Royal,Jahaan Tu Chala
Audiomachine,Wars Of Faith
Audiomachine,We are Gods
Berklee Indian Ensemble,Aap Ki Nazron Ne Samjha
AR Rahman,Kun Faya Kun
AR Rahman,Desi Thoughts
AR Rahman,Thee Thee & Malargale
Coldplay,The Scientist
Coldplay,Viva La Vida
Coldplay,Life in Technicolor
Hozier,Wasteland
Hozier,Take Me To Church
Hozier,Sunlight
Hozier,Movement
Hozier,Almost
Hozier,Like Real People Do
Hozier,Cherry Wine
Hozier,As It Was
Hozier,Talk
Prateek Kuhad,Tune Kaha
Prateek Kuhad,Cold:Mess
Agam,Malhar Jam - Coke Studio India Season 2
Mahesh Raghvan,Harry Potter - The Ultimate Indian Theme
The Anirudh Varma Collective,Megh
Abonti,Sheesh Priya's Medley
Rainer Hersch,Microsoft Windows - the waltz
Midival Punditz,Naina Laagey
Hamesha,Satrangi - Pepsi Battle of the Bands Season 3
Advaita,Ghir Ghir - Coke Studio India Season 1
Sneha Bhattacharya,Bhromor Koiyo Giya
Alec Benjamin,Mind Is A Prison
Alec Benjamin,Let Me Down Slowly
Alec Benjamin,Paper Crown
Rekha Bhardwaj,Genda Phool
Javed Ali,Arziyan
Benny Dayal,Rehna Tu
Mohit Chauhan,Masakali
the 1975,Somebody Else
The 1975,A Change Of Heart
The 1975,I like it when you sleep
Arnob,Megh Bolechhe
Arnob,Phagun Haway Haway
Arnob and Friends,Ore Nil Doriya
Oh Wonder,Waste
Oh Wonder,Bigger Than Love
Oh Wonder,Ultralife
Oh Wonder,Overgrown
Oh Wonder,Slip Away
Oh Wonder,Shark
Oh Wonder,My Friends
Oh Wonder,All About You
Oh Wonder,Heavy
Oh Wonder,Lifetimes
Oh Wonder,Solo
Oh Wonder,High On Humans
Oh Wonder,Heart Strings
Ruelle,Monsters
Ruelle,Madness
Ruelle,Deep End
Ruelle,War Of Hearts - acoustic
Ruelle,Carry you
Ruelle,Come Fly With Me
Ruelle,Genesis
Karan Chitra Deshmukh,Coffin Dance - cover
Karan Chitra Deshmukh,Game of Thrones Theme - cover
Alka Yagnik,Taal Se Taal
Hariharan,Nahin Samne Taal
Asha Bhosle,Kahin Aag Lage Lag Jaaye
Sukhwinder Singh,Ramta Jogi Taal
Markus J. Buehler,Sonification of the Coronavirus Spike Protein (Amino Acid Scale)
Markus J. Buehler,Viral koto ensemble of protein 4osd
Markus J. Buehler,Honeybee Silk
Markus J. Buehler,Concerto of a De Novo Protein
Markus J. Buehler,Viral Protein Jam
Markus J. Buehler,Ambient Viral Jam (Protein Inceptionism)
Markus J. Buehler,Collagen Etude
Markus J. Buehler,Reflection of Infection (for Piano)
Alokananda Dasgupta,Escape
Alokananda Dasgupta,Sacred Games Background Score - Suspense
Alokananda Dasgupta,Tope Theme
Tejas Menon,Dheemi
Alokananda Dasgupta,I Am Trapped
Sangeetha,Manzil Ke Is mod Pe
Nuke,Teri Parchhai
Ellie Goulding,Love Me Like You Do - lofi
Advait x P.N.D.A,Main So Gaya Hoon
KK,Kya Mujhe Pyaar Hai
KK,Dil Ibaadat
KK,Beete lamhe
KK,Tuhi Meri Shab Hai
Parvati Khan,Jimmi Jimmi Jimmi
Bappi Lahiri,Yaad Aa Raha Hai
Vijay Benedict,I Am A Disco Dancer
Bappi Lahiri,Koi Yahan Aha Nache Nache
Broods,Heartlines
Broods,Bridges
Broods,Never Gonna Change
Papon,Ranjish Hi Sahi
Papon,Moh Moh Ke Dhaage
Papon,Kaun Mera
Papon,Purvayi
Papon,Jiyen Kyun
Papon,Siyaahii
Zeb,Rona Chor Diya - Coke Studio Pakistan Season 2
Zeb Bangash,Roshe
Zeb,Chal diye - Coke Studio Pakistan Season 2
Mark Bradshaw,Top of the Lake Opening Titles
Mark Bradshaw,Hello Darling
John Powell,The Downed Dragon
John Powell,See You Tomorrow
John Powell,Focus
John Powell,Astrid Goes For A Spin
John Powell,Sticks & Stones
John Powell,The Dragon Book
John Powell,Battling The Green Death
John Powell,Coming Back Around
John Powell,The Cove
John Powell,New Tail
John Powell,The Vikings Have Their Tea
John Powell,Counter Attack
John Powell,Dragon's Den
John Powell,Dragon Battle
John Powell,This Time For Sure
John Powell,This Is Berk
John Powell,Forbidden Friendship
John Powell,The Kill Ring
John Powell,Dragon Training
John Powell,Ready The Ships
John Powell,Not So Fireproof
John Powell,Where's Hiccup
John Powell,Wounded
Lata Mangeshkar,Jiya Jale
Udit Narayan,E Ajnabi Tu Bhi Kabhi
KS Harisankar,Jiya Jale - Kurvalikiliye
Sonu Nigam,Satrangi Re
Tove Lo,Scream My Name
Tove Lo,Disco Tits
Tove Lo,Scars
Tove Lo,Habits
Tove Lo,Sadder Badder Cooler
Tove Lo,Moments
Tove Lo,Cool Girl
Simply Three,The Factory
Simply Three,Latch
Simply Three,Circles - cover
Simply Three,Rain
Simply Three,Maverick
Simply Three,Heart's Harmony
Shafqat Amanat Ali,Dildara
Vishal Dadlani,Saaiyaan
Vishal Dadlani,Madari - Coke Studio India Season 2
Arijit Singh,Nashe Si Chadh Gayi
Shafqat Amanat Ali,Bin Tere
Rahat Fateh Ali Khan,Aas Paas Kuda
Sia,Unstoppable
Sia,Breath Me
Sia,Alive
Sia,Big Girls Cry
Sia,Cheap Thrills
Noble Man,Baba - cover
Noble Man,Alvida - cover
Noble Man,Akash Bhora Shurjo Tara
Noble Man,Aro Ekbar - cover
Arijit Singh,Raazi
Arijit Singh,Ae Watan (Shankar-Ehsaan-Loy) {Gulzaar}
Harshdeep Kaur,Dilbaro
Nusrat Fateh Ali Khan,Sanware Tore Bin Jiya
Nusrat Fateh Ali Khan,Piya Re
Nusrat Fateh Ali Khan,Tere Bin Nai Lagda
Nusrat Fateh Ali Khan,Afreen afreen
Chinmayee,Afreen Afreen
Lauv,I Like Me Better
Lauv,fuck i'm lonely
Lauv,The Other
Lauv,i'm so tired
Metallica,Fade To Black
Metallica,The Unforgiven I & II & III
Metallica,Nothing Else Matters
Green Day,Boulevard of Broken Dreams
Eagles,Hotel California
Bharat Chauhan,Ghar
Bharat Chauhan,Tu Hoti Toh
Ewan Maccoll,Brother did you Weep
Ewan Maccoll,The Manchester Rambler
Agnee,Kaise Ho Tum
Agnee,Karvan
Agnee,Sadaa
Agnee,Ujale Baaz
Agnee,Aahatein
Agnee,Shaam Tanha
Javed Bashir,Piya Tu Kaahe Rootha Re
Javed Bashir,Aaj Ibaadat
Javed Bashir,O Rangrez
Billie Eilish,lovely
Billie Eilish,bad guy
Billie Eilish,bury a friend
Billie Eilish,everything i wanted
This Town Needs Guns,2 Birds 1 Stone and an Empty Stomach
This Town Needs Guns,Nice Riff Clichard
This Town Needs Guns,Pygmy Polygamy
This Town Needs Guns,In the Branches of Yggdrasil
This Town Needs Guns,13.0.0.0.1
Arijit Songh,Ek Charraiya
Arijit Singh,Soney Do
Rahat Fateh Ali Khan,Dil Ka Mizaaj Ishqiya
Rekha Bhardwaj,Jagaave Saari Raina
Rahat Fateh Ali Khan,Dil To Bachcha Hai
Mika,In e Batutta
Mustafa Zahid,Bhula Dena Mujhe
KK,Piya Aaye Na
Arijit Singh,Milne Hai Mujhse Aayi
Arijit Singh,Tum Hi Ho
Sagar Desai,The Sweater
Sagar Desai,Into the Gunj
Sagar Desai,Kabaddi
Sagar Desai,A Death in the Gunj
Sagar Desai,Shutu's Pain
Sagar Desai,Planchette
Imagine Dragons,Demons
Imagine Dragons,Monster
Imagine Dragons,Believer
Imagine Dragons,Roots
Imagine Dragons,Radioactive
Imagine Dragons,Bad Liar
Indian Lofi,Paper Planes
Indian Lofi,Raat
James Bay,Best Fake Smile
James Bay,Chew On My Heart
Kora - tumblr user samdyke,americanamusicbox
Jay Gruska,Deans Theme (Orchestral Version)
Sila - tumblr user marvells,you changed me music box
Jay Gruska,You Changed Me
Jay Gruska,Bloodlust Theme
Skyler Williams,You Changed Me - Castiel's Theme
Jay Gruska,Tears In Their Beers
Jay Gruska,Sam Opens Up
Shafqat Amanat Ali,Aankhon Kay Sagar - Coke Studio Pakistan Season 2
Shafqat Amanat Ali,Tere Naina
Shafqat Amanat Ali,Khamaj
Shafqat Amanat Ali,Mitwa
Kishore Kumar,Inteha Ho Gayi Intezaar Ki
Kishore Kumar,My Name Is Anthony Gonsalves
Cigarettes After Sex,Affection
Cigarettes After Sex,Apocalypse
Ram Sampath,DK Bose
Keerthi Sagathia,Switti Switti
Keerthi Sagathia,Nakkadwaley Disco Udhaarwaley Khisko
Patric Olleson,The Current
Patric Olleson,All We Have
Patric Olleson,For Your Love
Patric Olleson,Aristarchus in the Rain
Patric Olleson,Moons of Jupiter
Patric Olleson,Properties of Light (Hello Love)
Patric Olleson,The Idea
Ryuichi Sakamoto,M.A.Y In The Backyard
John Adams,Hallelujah Junction (1st Movement)
Joe Esposito,Lady Lady Lady
Wolfgang Enoch Hsu,cappricio guitar
The Psychedelic Furs,Love My Way
Sufjan Stevens,Mystery Of Love
Sufjan Stevens,Visions of Gideon
André Laplante,Une Barque Sur L'océan
Sufjan Stevens,Futile Devices Doveman Remix
rio,Happier
rio,Gospel
rio,Hallelujia
rio,Demons
rio,test
rio,Main agar Kahu
rio,Morey Piya
rio,Rockabye
Sanchit Balhara,Rani Sa
Zoey Lily,Without A Word
Accept,Kill the Pain
Shahid Mallya,Mann Jaage
Adam Lambert,Runnin
My Chemical Romance,Kill All Your Friends
New Order,Blue Monday
Dolly Parton,Jolene
Bonjr,It's ok You're ok
Skeeter Davis,The End of the World
Falak Shabir,Saajna
The Acid,Tumbling Lights
Boy Harsher,Pain breaks the Rythm
Shruti Pathak,Mar Jawaan
