13.0.0.0.1%math rock
This Town Needs Guns%2 Birds, 1 Stone and an Empty Stomach,math rock
In the Branches of Yggdrasil%math rock
This Town Needs Guns%Nice Riff, Clichard,math rock
Pygmy Polygamy%math rock
Chicago%experimental escape
Aaj Laagi Laagi Nai Dhoop%street pashto sufi
Aayi Bahaar%progressivo qawwali
Dheeme Re Re%hindustani classical folk
Kaise Sukh Soyein%hindustani classical
Ankhon dekhi background score fingerstyle guitar%euphonium acousmatic hindustani dhrupad
Milne Hai Mujhse Aayi%mellow rock
Tum Hi Ho%noir romantico
KK% Tulsi Kumar (Jeet Ganguly) {Irshaad Kaamil},Piya Aaye Na,grime romantico tavern
Bhula Dena Mujhe%meloncholia
Kabhi Nahi%jazz plunderphonics hi-nrg
Nain Se Naino Ko Mila%experimental qawwali jazz
Aye Udi Udi%jazz hula jig
Main So Gaya Hoon%lo-fi progressivo
Ellie Goulding% Advait,Love Me Like You Do - lofi,lo-fi pixie
advait%Nuke,Bri Muso (Advait, Nuke) {Nuke} [Advait],Teri Parchhai,lo-fi melancholia
advait%Sangeetha, P.N.D.A, Advait,Manzil Ke Is mod Pe,ambient emo dreamgaze
Age of Adz%baroque rock
All For Myself%experimental baroque
Bad Communication%8-bit noise rock
Futile Devices%norske
Impossible Soul%experimental noise futurismo
Too Much%experimental futurismo
Vesuvius%experimental futurismo
Aahatein%pashto fusion rock
Kaise Ho Tum%pashto fusion rock
Karvan%pashto fusion rock
Sadaa%pashto fusion rock
Shaam Tanha%pashto fusion rock
Ujale Baaz%fusion emo rock
Ajoy Chakraborthy% Parveen Sultana (Uttam Singh) {Anand Baksh},Aan Milo Sajna,mellow ghazal
Eri Aali Piya Bin - Raag Yaman%carnatic vocaloid
Badra Re Tu%hindustani claassical vocaloid dhrupad
Khelun Piya Sang Hori%hindustani claassical vocaloid dhrupad
Let Me Down Slowly%teen pop
Mind Is A Prison%teen pop
Paper Crown%teen pop
Escape%acid anarcho rock
I Am Trapped%noise industrial escape rock
Sacred Games Background Score - Suspense%neuro acid trance
Tope Theme%experimental avant-garde
Tejas Menon% Aloknanda Dasgupta {Rajeshwari Dasgupta},Dheemi,pixie romantico
Abh Mera Kaha Thikana%mellow lo-fi
Bombay aur Baarish%mellow lo-fi
Khwab (P.N.D.A's remix)%mellow lo-fi synth wave
Aman% Advait,Dil Ko Kaise Samjhau,romantico lo-fi
Aman% Advait,Tu Hai Kahaan,mellow lo-fi
5:00 AM%rouge romaticiism
I Found%rouge romaticiism
Worship%rouge noir emo romaticiism
Haminastu%folk fusion rock
Shaam%acousmatic
Saali khushi%street rave
Amit Trivedi% Mame Khan,Chaudhary,pashto folk baithak
