folder,file,album,artist,title
"../music/jal","Atif Aslam _ Yakeen.mp3","jal","Atif Aslam", "Yakeen"
"../music/jal","Jal The Band _ More Piya.mp3","jal","Jal The Band", "More Piya"
"../music/jal","Jal The Band _ Hamein Itna Pyar.mp3","jal","Jal The Band", "Hamein Itna Pyar"
"../music/jal","Jal The Band _ Ik Aarzu (Coke Studio Pakistan).mp3","jal","Jal The Band", "Ik Aarzu (Coke Studio Pakistan)"
"../music/jal","Atif Aslam _ Old Bollywood Medley.mp3","jal","Atif Aslam", "Old Bollywood Medley"
"../music/jal","Jal The Band _ Dil Haari.mp3","jal","Jal The Band", "Dil Haari"
"../music/jal","Atif Aslam _ O Saathi.mp3","jal","Atif Aslam", "O Saathi"
"../music/jal","Jal The Band _ Kash Ye Pal.mp3","jal","Jal The Band", "Kash Ye Pal"
"../music/jal","Atif Aslam _ Yaad Tehari.mp3","jal","Atif Aslam", "Yaad Tehari"
"../music/jal","Atif Aslam _ Kuch Is Tarah.mp3","jal","Atif Aslam", "Kuch Is Tarah"
"../music/jal","Atif Aslam _ Mere Watan.mp3","jal","Atif Aslam", "Mere Watan"
"../music/jal","Jal The Band _ Dil Haray.mp3","jal","Jal The Band", "Dil Haray"
"../music/parvaaz","Parvaaz _ Shabaan.mp3","parvaaz","Parvaaz", "Shabaan"
"../music/parvaaz","Parvaaz _ Ziyankar.mp3","parvaaz","Parvaaz", "Ziyankar"
"../music/parvaaz","Parvaaz _ Roz Roz.mp3","parvaaz","Parvaaz", "Roz Roz"
"../music/parvaaz","Parvaaz _ Color White.mp3","parvaaz","Parvaaz", "Color White"
"../music/parvaaz","Parvaaz _ Baran.mp3","parvaaz","Parvaaz", "Baran"
"../music/parvaaz","Parvaaz _ Shaad.mp3","parvaaz","Parvaaz", "Shaad"
"../music/parvaaz","Parvaaz _ Ab Ki Ye Subah.mp3","parvaaz","Parvaaz", "Ab Ki Ye Subah"
"../music/doomPatrol","Robert LaSalle _ Home Pt 2 (It's Time To Go Home).mp3","doom Patrol","Robert LaSalle", "Home Pt 2 (It's Time To Go Home)"
"../music/doomPatrol","Clint Mansell, Kevin Kiner _ Doom Patrol Main Titles.mp3","doom Patrol","Clint Mansell, Kevin Kiner", "Doom Patrol Main Titles"
"../music/raghuDixit","Raghu Dixit _ Ambar.mp3","raghu Dixit","Raghu Dixit", "Ambar"
"../music/raghuDixit","Raghu Dixit _ Rain Song.mp3","raghu Dixit","Raghu Dixit", "Rain Song"
"../music/fob","Fall Out Boy _  American Beauty.mp3","fob","Fall Out Boy", " American Beauty"
"../music/fob","Fall Out Boy _ Centuries.mp3","fob","Fall Out Boy", "Centuries"
"../music/fob","Fall Out Boy _ Immortals.mp3","fob","Fall Out Boy", "Immortals"
"../music/znmd","Shankar Madhavan (Shankar-Ehsaan-Loy) {Jaaved Akhtar} _ Der Lagi Lekin.mp3","znmd","Shankar Madhavan (Shankar-Ehsaan-Loy) {Jaaved Akhtar}", "Der Lagi Lekin"
"../music/znmd","Vishaal Dhadhlani (Shankar-Ehsaan-Loy){Jaaved Akhtar} _ Ik Junoon.mp3","znmd","Vishaal Dhadhlani (Shankar-Ehsaan-Loy){Jaaved Akhtar}", "Ik Junoon"
"../music/znmd","Farhaan Akhtar {Jaaved Akhtar} _ Dil Aakhir Tu Kyun Rota Hai.mp3","znmd","Farhaan Akhtar {Jaaved Akhtar}", "Dil Aakhir Tu Kyun Rota Hai"
"../music/znmd","Mohit chauhan, Alyssa Mendonsa (Shankar Ehsaan Loy) {Jaaved Akhtar} _ Khwaabon Ke PArindey.mp3","znmd","Mohit chauhan, Alyssa Mendonsa (Shankar Ehsaan Loy) {Jaaved Akhtar}", "Khwaabon Ke PArindey"
"../music/znmd","Farhaan Akhtar {Jaaved Akhtar} _ Ye Jaane Kaisa Raaz Hai.mp3","znmd","Farhaan Akhtar {Jaaved Akhtar}", "Ye Jaane Kaisa Raaz Hai"
"../music/znmd","Farhan Akhtar {Jaaved Akhtar} _ Aisi Gehraiyaan Aisi Tanhaiyaan.mp3","znmd","Farhan Akhtar {Jaaved Akhtar}", "Aisi Gehraiyaan Aisi Tanhaiyaan"
"../music/znmd","Dominique Cerejo , Clinton Cerejo, Loy Mendonsa (Shankar Eshaan-Loy) {Jaaved Akhtar} _ Sooraj Ki Bahoon Mein.mp3","znmd","Dominique Cerejo , Clinton Cerejo, Loy Mendonsa (Shankar Eshaan-Loy) {Jaaved Akhtar}", "Sooraj Ki Bahoon Mein"
"../music/znmd","Farhaan Akhtar {Jaaved Akhtar} _ Apne Hone Par Mujhko Yaqeen Aa Gaya.mp3","znmd","Farhaan Akhtar {Jaaved Akhtar}", "Apne Hone Par Mujhko Yaqeen Aa Gaya"
"../music/sachinJigar","Arijit Singh, Rekha Bharadwaj (Sachin-Jigar) {Priya Saraiya, Dinesh Vijan} _ Judaai.mp3","sachin Jigar","Arijit Singh, Rekha Bharadwaj (Sachin-Jigar) {Priya Saraiya, Dinesh Vijan}", "Judaai"
"../music/sachinJigar","Shreya Ghoshal, Tochi Raina(Sachin-Jigar) {Sameer Anjaan, Priya Panchal} _ Saibo.mp3","sachin Jigar","Shreya Ghoshal, Tochi Raina(Sachin-Jigar) {Sameer Anjaan, Priya Panchal}", "Saibo"
"../music/sachinJigar","Sachin Sanghvi (Sachin-Jigar) {Sachin Sanghvi,Amir Khusro}  [Vashisht Trivedi, Dhaivat Jani, Hrishikesh Gangan] _ Rangreza.mp3","sachin Jigar","Sachin Sanghvi (Sachin-Jigar) {Sachin Sanghvi,Amir Khusro}  [Vashisht Trivedi, Dhaivat Jani, Hrishikesh Gangan]", "Rangreza"
"../music/sachinJigar","Rekha Bhardwaj, Jigar Saraiya, Priya Saraiya  (Sachin-Jigar) _ Mileya Mileya.mp3","sachin Jigar","Rekha Bhardwaj, Jigar Saraiya, Priya Saraiya  (Sachin-Jigar)", "Mileya Mileya"
"../music/sachinJigar","Arijit Singh (Sachin-Jigar) {Pruya Saraiya} _ Meet.mp3","sachin Jigar","Arijit Singh (Sachin-Jigar) {Pruya Saraiya}", "Meet"
"../music/devD","Amitabh Bhattacharya, Amit Trivedi (Amit Trivedi) {Amitabh Bhattacharya} _ Emosaonal Atyachar -  Brass Band.mp3","dev D","Amitabh Bhattacharya, Amit Trivedi (Amit Trivedi) {Amitabh Bhattacharya}", "Emosaonal Atyachar -  Brass Band"
"../music/devD","Tochi Raina (Amit Trivedi) {Shellee} _ Pardesi.mp3","dev D","Tochi Raina (Amit Trivedi) {Shellee}", "Pardesi"
"../music/aman","Aman _ Khwab (P.N.D.A's remix).mp3","aman","Aman", "Khwab (P.N.D.A's remix)"
"../music/aman","Aman _ Abh Mera Kaha Thikana.mp3","aman","Aman", "Abh Mera Kaha Thikana"
"../music/aman","Aman, Advait _ Tu Hai Kahaan.mp3","aman","Aman, Advait", "Tu Hai Kahaan"
"../music/aman","Aman _ Bombay aur Baarish.mp3","aman","Aman", "Bombay aur Baarish"
"../music/aman","Aman, Advait _ Dil Ko Kaise Samjhau.mp3","aman","Aman, Advait", "Dil Ko Kaise Samjhau"
"../music/ramSampath","Raghubir Yadav (Ram Sampath) _ Mehngai Dayain Khaye Jaat Hai.mp3","ram Sampath","Raghubir Yadav (Ram Sampath)", "Mehngai Dayain Khaye Jaat Hai"
"../music/ramSampath","Ram Sampath _ Saawan Aayo Re.mp3","ram Sampath","Ram Sampath", "Saawan Aayo Re"
"../music/mannaDey","Manna Dey _ Coffee houser sei addata.mp3","manna Dey","Manna Dey", "Coffee houser sei addata"
"../music/mannaDey","Manna Dey (Roshan) {Sahir Ludhiyanvi} _ Laga Chunari Men Daag.mp3","manna Dey","Manna Dey (Roshan) {Sahir Ludhiyanvi}", "Laga Chunari Men Daag"
"../music/mannaDey","Manna Dey _ Hoyto Tomar-e Jonyo.mp3","manna Dey","Manna Dey", "Hoyto Tomar-e Jonyo"
"../music/lSubramanium","L Subramaniam, Bindu Subramaniam _ Harmony of the Hearts.mp3","l Subramanium","L Subramaniam, Bindu Subramaniam", "Harmony of the Hearts"
"../music/lSubramanium","L Subramanium, Ron Wagner _ Flight of the Humble Bee.mp3","l Subramanium","L Subramanium, Ron Wagner", "Flight of the Humble Bee"
"../music/lSubramanium","L Subramanium, Jorge Struntz _ I Can't Forget.mp3","l Subramanium","L Subramanium, Jorge Struntz", "I Can't Forget"
"../music/lSubramanium","L Subramanium, Viji Subramaniam _ Whispering Moods.mp3","l Subramanium","L Subramanium, Viji Subramaniam", "Whispering Moods"
"../music/uditNarayan","Udit Narayan, Alka Yagnik _ Jane Kyun Log.mp3","udit Narayan","Udit Narayan, Alka Yagnik", "Jane Kyun Log"
"../music/uditNarayan","Shreya Ghoshal, Udit Narayan _ Bairi Piya.mp3","udit Narayan","Shreya Ghoshal, Udit Narayan", "Bairi Piya"
"../music/uditNarayan","Udit Narayan, Shreya Ghoshal, Vinod Rathor _ Chalak Chalak.mp3","udit Narayan","Udit Narayan, Shreya Ghoshal, Vinod Rathor", "Chalak Chalak"
"../music/uditNarayan","Udit Narayan, Alka Yagnik (Ismail Darbar) {Mehboob} _ Man Mohini.mp3","udit Narayan","Udit Narayan, Alka Yagnik (Ismail Darbar) {Mehboob}", "Man Mohini"
"../music/fukrey","Sona Mohapatra (Ram Sampath) {Munna Dhiman} _ Ambarsariya.mp3","fukrey","Sona Mohapatra (Ram Sampath) {Munna Dhiman}", "Ambarsariya"
"../music/fukrey","Kailash Kher, Pradipta Guha, Keerthi Sagathia (Ram Sampath) {Munna Dhiman} _ Karle Jugaad Karle.mp3","fukrey","Kailash Kher, Pradipta Guha, Keerthi Sagathia (Ram Sampath) {Munna Dhiman}", "Karle Jugaad Karle"
"../music/sitarmetal","Sitar Metal _ True Darkness.mp3","sitarmetal","Sitar Metal", "True Darkness"
"../music/sitarmetal","Sitar Metal _ False Light.mp3","sitarmetal","Sitar Metal", "False Light"
"../music/sitarmetal","Sitar Metal _ The Awakening Is Here.mp3","sitarmetal","Sitar Metal", "The Awakening Is Here"
"../music/sitarmetal","Shri _ Swarg.mp3","sitarmetal","Shri", "Swarg"
"../music/sitarmetal","RamageProductions _ Line 6 Sitar Test.mp3","sitarmetal","RamageProductions", "Line 6 Sitar Test"
"../music/sitarmetal","Sitar Metal _ We Will Never Exist.mp3","sitarmetal","Sitar Metal", "We Will Never Exist"
"../music/sitarmetal","Sitar Metal _ I Am the Wake up Call.mp3","sitarmetal","Sitar Metal", "I Am the Wake up Call"
"../music/sitarmetal","Sitar METAL _ Dreamers We Never Learn.mp3","sitarmetal","Sitar METAL", "Dreamers We Never Learn"
"../music/sitarmetal","Sitar Metal _ Beyond Me Beyond You.mp3","sitarmetal","Sitar Metal", "Beyond Me Beyond You"
"../music/sitarmetal","Estrn Chill, DJ Clipps _ Shish Sitar Beat.mp3","sitarmetal","Estrn Chill, DJ Clipps", "Shish Sitar Beat"
"../music/srikanto","Srikanto Acharya _ Bristi Tomake Dilam.mp3","srikanto","Srikanto Acharya", "Bristi Tomake Dilam"
"../music/srikanto","Srikanto Acharya _ Bodhua Amar chokhe Jol eneche.mp3","srikanto","Srikanto Acharya", "Bodhua Amar chokhe Jol eneche"
"../music/katCunning","Kat Cunning _ Make U Say.mp3","kat Cunning","Kat Cunning", "Make U Say"
"../music/katCunning","Kat Cunning _ Wild Poppies.mp3","kat Cunning","Kat Cunning", "Wild Poppies"
"../music/katCunning","Kat Cunning _ King of Shadow.mp3","kat Cunning","Kat Cunning", "King of Shadow"
"../music/katCunning","Kat Cunning _ Birds.mp3","kat Cunning","Kat Cunning", "Birds"
"../music/himeshReshammiya","Himesh Reshanmiya _ Jhalak Dikhla Ja.mp3","himesh Reshammiya","Himesh Reshanmiya", "Jhalak Dikhla Ja"
"../music/himeshReshammiya","Himesh Reshammiya _ Aashiqui Mein Teri.mp3","himesh Reshammiya","Himesh Reshammiya", "Aashiqui Mein Teri"
"../music/himeshReshammiya","Himesh Reshammiya _ Aye Meri Zohrajabeen.mp3","himesh Reshammiya","Himesh Reshammiya", "Aye Meri Zohrajabeen"
"../music/zackHempsey","Zack Hemsey _ See What I've Become.mp3","zack Hempsey","Zack Hemsey", "See What I've Become"
"../music/zackHempsey","Zack Hemsey _ Vengeance.mp3","zack Hempsey","Zack Hemsey", "Vengeance"
"../music/zackHempsey","Zack Hemsey _ I'll Find A Way.mp3","zack Hempsey","Zack Hemsey", "I'll Find A Way"
"../music/zackHempsey","Zack Hemsey _ The Way (Instrumental).mp3","zack Hempsey","Zack Hemsey", "The Way (Instrumental)"
"../music/zackHempsey","Zack Hemsey _ Nice To Meet Me.mp3","zack Hempsey","Zack Hemsey", "Nice To Meet Me"
"../music/zackHempsey","Zack Hemsey _ Soothsayer.mp3","zack Hempsey","Zack Hemsey", "Soothsayer"
"../music/lorde","Lorde _ Yellow Flicker Beat.mp3","lorde","Lorde", "Yellow Flicker Beat"
"../music/lorde","Lorde _ Royals.mp3","lorde","Lorde", "Royals"
"../music/lorde","Lorde _ Buzzcut Season.mp3","lorde","Lorde", "Buzzcut Season"
"../music/lorde","Lorde _ Perfect Places.mp3","lorde","Lorde", "Perfect Places"
"../music/lorde","Lorde _ Sober.mp3","lorde","Lorde", "Sober"
"../music/rabbi","Rabbi Shergil _ Bulla Ki Jaana Main Kaun.mp3","rabbi","Rabbi Shergil", "Bulla Ki Jaana Main Kaun"
"../music/rabbi","Rabbi Shergil _ Taläsh.mp3","rabbi","Rabbi Shergil", "Taläsh"
"../music/rabbi","Rabbi Shergill _ Challa Reprise.mp3","rabbi","Rabbi Shergill", "Challa Reprise"
"../music/ajoyChokroborty","Ajoy Chokroborty _ Badra Re Tu.mp3","ajoy Chokroborty","Ajoy Chokroborty", "Badra Re Tu"
"../music/ajoyChokroborty","Ajoy Chakraborthy, Parveen Sultana (Uttam Singh) {Anand Baksh} _ Aan Milo Sajna.mp3","ajoy Chokroborty","Ajoy Chakraborthy, Parveen Sultana (Uttam Singh) {Anand Baksh}", "Aan Milo Sajna"
"../music/ajoyChokroborty","Ajoy Chokroborty _ Khelun Piya Sang Hori.mp3","ajoy Chokroborty","Ajoy Chokroborty", "Khelun Piya Sang Hori"
"../music/ajoyChokroborty","Ajoy Chakraborty _ Eri Aali Piya Bin - Raag Yaman.mp3","ajoy Chokroborty","Ajoy Chakraborty", "Eri Aali Piya Bin - Raag Yaman"
"../music/theNationals","The National _ Nobody Else Will Be There.mp3","the Nationals","The National", "Nobody Else Will Be There"
"../music/theNationals","The National _ Graceless.mp3","the Nationals","The National", "Graceless"
"../music/ageOfAdz","Sufjan Stevens _ All For Myself.mp3","age OfAdz","Sufjan Stevens", "All For Myself"
"../music/ageOfAdz","Sufjan Stevens _ Age of Adz.mp3","age OfAdz","Sufjan Stevens", "Age of Adz"
"../music/ageOfAdz","Sufjan Stevens _ Bad Communication.mp3","age OfAdz","Sufjan Stevens", "Bad Communication"
"../music/ageOfAdz","Sufjan Stevens _ Impossible Soul.mp3","age OfAdz","Sufjan Stevens", "Impossible Soul"
"../music/ageOfAdz","Sufjan Stevens _ Futile Devices.mp3","age OfAdz","Sufjan Stevens", "Futile Devices"
"../music/ageOfAdz","Sufjan Stevens _ Vesuvius.mp3","age OfAdz","Sufjan Stevens", "Vesuvius"
"../music/ageOfAdz","Sufjan Stevens _ Too Much.mp3","age OfAdz","Sufjan Stevens", "Too Much"
"../music/blackEyedPeas","The Black Eyed Peas _ London Bridge.mp3","black EyedPeas","The Black Eyed Peas", "London Bridge"
"../music/blackEyedPeas","The Black Eyed Peas _ Fergalicious.mp3","black EyedPeas","The Black Eyed Peas", "Fergalicious"
"../music/blackEyedPeas","The Black Eyed Peas _ Shut Up.mp3","black EyedPeas","The Black Eyed Peas", "Shut Up"
"../music/marcoCirillo","Marco Cirillo _ When You Just Discovered An Awesome Chord and Someone Ask You to Play Something.mp3","marco Cirillo","Marco Cirillo", "When You Just Discovered An Awesome Chord and Someone Ask You to Play Something"
"../music/marcoCirillo","Marco Cirillo _ When You Listen to Worship Music for Too Long.mp3","marco Cirillo","Marco Cirillo", "When You Listen to Worship Music for Too Long"
"../music/marcoCirillo","Marco Cirillo _ When You Feel Sad And Someone Ask You To Play Something.mp3","marco Cirillo","Marco Cirillo", "When You Feel Sad And Someone Ask You To Play Something"
"../music/marcoCirillo","Marco Cirillo _ When You Fall in Love and Someone Ask You To Play Something.mp3","marco Cirillo","Marco Cirillo", "When You Fall in Love and Someone Ask You To Play Something"
"../music/marcoCirillo","Marco Cirillo _ When You Play Acoustic Stuff on A Classical Guitar.mp3","marco Cirillo","Marco Cirillo", "When You Play Acoustic Stuff on A Classical Guitar"
"../music/marcoCirillo","Marco Cirillo _ When You Only Know Four Chords and Someone Ask You To Play Something.mp3","marco Cirillo","Marco Cirillo", "When You Only Know Four Chords and Someone Ask You To Play Something"
"../music/marcoCirillo","Marco Cirillo _ When You Always Play Acoustic Guitar But You Secretly Love Electric! (Dirty Secret).mp3","marco Cirillo","Marco Cirillo", "When You Always Play Acoustic Guitar But You Secretly Love Electric! (Dirty Secret)"
"../music/fleetwood","Fleetwood Mac _ The Chain.mp3","fleetwood","Fleetwood Mac", "The Chain"
"../music/fleetwood","Fleetwood Mac _ Big Love.mp3","fleetwood","Fleetwood Mac", "Big Love"
"../music/harmony","AR _ Man Mauj Mein - Part 1.mp3","harmony","AR", "Man Mauj Mein - Part 1"
"../music/harmony","AR, Ustad Mohi Baha Uddin Dagar _ Sunset Malkauns.mp3","harmony","AR, Ustad Mohi Baha Uddin Dagar", "Sunset Malkauns"
"../music/harmony","AR, Lourembam Bedadbati _ Floating Circles.mp3","harmony","AR, Lourembam Bedadbati", "Floating Circles"
"../music/harmony","AR _ End Title.mp3","harmony","AR", "End Title"
"../music/harmony","AR, Mickma Tshering Lepcha _ Rainmaker.mp3","harmony","AR, Mickma Tshering Lepcha", "Rainmaker"
"../music/harmony","AR _ Man Mauj Mein - Part 2.mp3","harmony","AR", "Man Mauj Mein - Part 2"
"../music/harmony","AR, Sajith Vijayan _ Wakeup Jungle.mp3","harmony","AR, Sajith Vijayan", "Wakeup Jungle"
"../music/harmony","AR _ Opening Title.mp3","harmony","AR", "Opening Title"
"../music/noSmoking","Sunidhi Chauhan (Vishal Bharadwaj)  {Gulzar} _ Jab Bhi Ciggaret - Trance.mp3","no Smoking","Sunidhi Chauhan (Vishal Bharadwaj)  {Gulzar}", "Jab Bhi Ciggaret - Trance"
