13.0.0.0.1%math rock
2 Birds, 1 Stone and an Empty Stomach%math rock
In the Branches of Yggdrasil%math rock
Nice Riff, Clichard%math rock
Pygmy Polygamy%math rock
Chicago%experimental escape
Aaj Laagi Laagi Nai Dhoop%street pashto sufi
Aayi Bahaar%progressivo qawwali
Dheeme Re Re%hindustani classical folk
Kaise Sukh Soyein%hindustani classical
Ankhon dekhi background score fingerstyle guitar%euphonium acousmatic hindustani dhrupad
Milne Hai Mujhse Aayi%mellow rock
Tum Hi Ho%noir romantico
Piya Aaye Na%grime romantico tavern
Bhula Dena Mujhe%meloncholia
Kabhi Nahi%jazz plunderphonics hi-nrg
Nain Se Naino Ko Mila%experimental qawwali jazz
Aye Udi Udi%jazz hula jig
Main So Gaya Hoon%lo-fi progressivo
Love Me Like You Do - lofi%lo-fi pixie
Teri Parchhai%lo-fi melancholia
Manzil Ke Is mod Pe%ambient emo dreamgaze
Age of Adz%baroque rock
All For Myself%experimental baroque
Bad Communication%8-bit noise rock
Futile Devices%norske
Impossible Soul%experimental noise futurismo
Too Much%experimental futurismo
Vesuvius%experimental futurismo
Aahatein%pashto fusion rock
Kaise Ho Tum%pashto fusion rock
Karvan%pashto fusion rock
Sadaa%pashto fusion rock
Shaam Tanha%pashto fusion rock
Ujale Baaz%fusion emo rock
Aan Milo Sajna%mellow ghazal
Eri Aali Piya Bin - Raag Yaman%carnatic vocaloid
Badra Re Tu%hindustani claassical vocaloid dhrupad
Khelun Piya Sang Hori%hindustani claassical vocaloid dhrupad
Let Me Down Slowly%teen pop
Mind Is A Prison%teen pop
Paper Crown%teen pop
Escape%acid anarcho rock
I Am Trapped%noise industrial escape rock
Sacred Games Background Score - Suspense%neuro acid trance
Tope Theme%experimental avant-garde
Dheemi%pixie romantico
Abh Mera Kaha Thikana%mellow lo-fi
Bombay aur Baarish%mellow lo-fi
Khwab (P.N.D.A's remix)%mellow lo-fi synth wave
Dil Ko Kaise Samjhau%romantico lo-fi
Tu Hai Kahaan%mellow lo-fi
5:00 AM%rouge romaticiism
I Found%rouge romaticiism
Worship%rouge noir emo romaticiism
Haminastu%folk fusion rock
Shaam%acousmatic
Saali khushi%street rave
Chaudhary%pashto folk baithak
Gubbare%acousmatic roll
Iktara Iktara%arabesque romanticism
Nachdi Phira%dreamgaze
0s and 1s Only%djent metal
Subject Zero%djent metal
Timeless%djent metal
Badger%math rock
Chinchilla%math rock
Crocodile%math rock
Dog%math rock
Elk%math rock
Panda%math rock
Quetzal%math rock
Zebra%math rock
Undertale: Megalovania%fantasy epic anime
Naruto: Sadness and Sorrow%elecro melancholica anime
Death Note Suite%hauntology anime
Aa Jaao - raw%melodica acousmatic pixie
Jeene Mein Aye Maza%cabaret jazz
Dil Haare%pashto romantico rock
Harkat%halftime emo groove
Thin Line of Blue%euphonium fuzz club
Chasing Shadows%ambient hindustani classical
Dancing In Madness%ambient hindustani classical
Fathers%ambient hindustani classical
Indian Summer%ambient hindustani classical
Lasya%flamenco hindustani
Monsoon%ambient hindustani classical
Traces Of You extn%ambient hindustani classical
Easy%hindustani classical fusion
Flight%ambient hindustani classical
Those Words%meloncholia dhrupad
Amar Shawhore%dissonant dreamgaze
Lokkhiti%grunge emo melenchloia rock
Teri Meri Baatein%fuzz rock
Moner Manush - Coke Studio India Season4%baithak fusion dhrupad
Desi Thoughts%trance symphonic futurismo zenonesque
Naina Neer - Water%melodica violao capella
Surabhi Theme%vapor wave symphonic
Tere Bina%sufi romantico
Jashn-E-Bahaaraa%sufi romantico
Lukka Chhupi%carnatic rock wave
Heer toh Badi Sad Hai%street folk funk
Ishq Shava%hip-hop punk melodica
Kabhi Kabhi Aditi%eclectonica dub jazz
Kay Sera Sera%concertina psychedelic vapor
Saathiya%rhytm blues
Roja Jaaneman%orchaestral romanticism
Dheem Ta Dare%rhythm carnatic
Manmohini Morey%carnatic trallalero
Beera Beera%experimental street folk
Yeh Fitoor Mera%vapour edm sufi
Tose Naina%sufi romantico pixie
Ae Zindagi Gale Laga Le%ghazal eclectonia arabesque symphic
Aaj Jane Ki Zid Na Karo%ghazal
Kichhu Kichhu Kotha%orchestral xenharmonic hinduastani
Megh Bolechhe%robindro-songeet
Phagun Haway Haway%robindro-songeet
Ore Nil Doriya%norske folk fusion
Baat Nahi Karni%elecro mellow
Sapna%tropicalia emo ballad
Jaan Nisaar%romantico lo-fi
Tere Bin%romatico noir
Wars Of Faith%theremin symphonic anarcho-punk
We are Gods%theremin symphonic anarcho-punk
Roz%drupad fusion edm
Hotel California%flava melodica emo
Boulevard of Broken Dreams%mellow rock
Eleanor Rigsby%ballad
Here Comes The Sun%rock
Hey Jude%rock emo
I Want To Hold Your Hand%jazz rock
Within You Without You%avanr-garde rock
Kun Faya Kun%sufi orchestral
Desi Thoughts%xenharmonic symphonic
Thee Thee & Malargale%orchestral xenharmonic carnatic wonky
Aap Ki Nazron Ne Samjha%orchestral classical  capella
Ghar%ouroboros wave
Tu Hoti Toh%ouroboros wave
Flow Live Set (Demo Tape)%chamber
I'm Leaving%chamber orchestral acousmatic
Indian Classical Aligarh Theme%euphonium acousmatic hindustani dhrupad
Momentary Present%chamber orchestral acousmatic
Opening%chamber orchestral acousmatic
Tanpura Jam Series, Ep 1%euphonium acousmatic hindustani dhrupad
Tanpura Jam Series, Ep 2%euphonium acousmatic hindustani dhrupad
Time To Fall @ Sofar Delhi NCR%chamber orchestral acousmatic
Traveling%chamber orchestral acousmatic
Tribute%chamber orchestral acousmatic
bad guy%dark grime edm
bury a friend%dark wave pop
everything i wanted%meloncholia eclectonica pop
lovely%grime synth pop
History of the Entire Eorld, I Guess%szanty
